,city
0,Abohar
1,Adilabad
2,Agartala
3,Agra
4,Ahmadnagar
5,Ahmedabad
6,Aizawl  
7,Ajmer
8,Akola
9,Alappuzha
10,Aligarh
11,Alipurduar
12,Allahabad
13,Alwar
14,Ambala
15,Amaravati
16,Amritsar
17,Asansol
18,Aurangabad
19,Aurangabad
20,Bakshpur
21,Bamanpuri
22,Baramula
23,Barddhaman
24,Bareilly
25,Belgaum
26,Bellary
27,Bengaluru
28,Bhagalpur
29,Bharatpur
30,Bharauri
31,Bhatpara
32,Bhavnagar
33,Bhilai
34,Bhilwara
35,Bhiwandi
36,Bhiwani
37,Bhopal 
38,Bhubaneshwar
39,Bhuj
40,Bhusaval
41,Bidar
42,Bijapur
43,Bikaner
44,Bilaspur
45,Brahmapur
46,Budaun
47,Bulandshahr
48,Calicut
49,Chanda
50,Chandigarh 
51,Chennai
52,Chikka Mandya
53,Chirala
54,Coimbatore
55,Cuddalore
56,Cuttack
57,Daman
58,Davangere
59,DehraDun
60,Delhi
61,Dhanbad
62,Dibrugarh
63,Dindigul
64,Dispur
65,Diu
66,Faridabad
67,Firozabad
68,Fyzabad
69,Gangtok
70,Gaya
71,Ghandinagar
72,Ghaziabad
73,Gopalpur
74,Gulbarga
75,Guntur
76,Gurugram
77,Guwahati
78,Gwalior
79,Haldia
80,Haora
81,Hapur
82,Haripur
83,Hata
84,Hindupur
85,Hisar
86,Hospet
87,Hubli
88,Hyderabad
89,Imphal
90,Indore
91,Itanagar
92,Jabalpur
93,Jaipur
94,Jammu
95,Jamshedpur
96,Jhansi
97,Jodhpur
98,Jorhat
99,Kagaznagar
100,Kakinada
101,Kalyan
102,Karimnagar
103,Karnal
104,Karur
105,Kavaratti
106,Khammam
107,Khanapur
108,Kochi
109,Kohima
110,Kolar
111,Kolhapur
112,Kolkata 
113,Kollam
114,Kota
115,Krishnanagar
116,Krishnapuram
117,Kumbakonam
118,Kurnool
119,Latur
120,Lucknow
121,Ludhiana
122,Machilipatnam
123,Madurai
124,Mahabubnagar
125,Malegaon Camp
126,Mangalore
127,Mathura
128,Meerut
129,Mirzapur
130,Moradabad
131,Mumbai
132,Muzaffarnagar
133,Muzaffarpur
134,Mysore
135,Nagercoil
136,Nalgonda
137,Nanded
138,Nandyal
139,Nasik
140,Navsari
141,Nellore
142,New Delhi
143,Nizamabad
144,Ongole
145,Pali
146,Panaji
147,Panchkula
148,Panipat
149,Parbhani
150,Pathankot
151,Patiala
152,Patna
153,Pilibhit
154,Porbandar
155,Port Blair
156,Proddatur
157,Puducherry
158,Pune
159,Puri
160,Purnea
161,Raichur
162,Raipur
163,Rajahmundry
164,Rajapalaiyam
165,Rajkot
166,Ramagundam
167,Rampura
168,Ranchi
169,Ratlam
170,Raurkela
171,Rohtak
172,Saharanpur
173,Saidapur
174,Saidpur
175,Salem
176,Samlaipadar
177,Sangli
178,Saugor
179,Shahbazpur
180,Shiliguri
181,Shillong 
182,Shimla
183,Shimoga
184,Sikar
185,Silchar
186,Silvassa
187,Sirsa
188,Sonipat
189,Srinagar
190,Surat
191,Tezpur
192,Thanjavur
193,Tharati Etawah
194,Thiruvananthapuram
195,Tiruchchirappalli
196,Tirunelveli
197,Tirupati
198,Tiruvannamalai
199,Tonk
200,Tuticorin
201,Udaipur
202,Ujjain
203,Vadodara
204,Valparai
205,Varanasi
206,Vellore
207,Vishakhapatnam
208,Vizianagaram
209,Warangal
210,Jorapokhar
211,Brajrajnagar
212,Talcher
